	benignus [Clinical anchor / Course, prognosis, mechanism]	dekompenzált [Clinical anchor / Course, prognosis, mechanism]	gyógyszerrezisztens [Clinical anchor / Course, prognosis, mechanism]	iatrogén [Clinical anchor / Course, prognosis, mechanism]	idiopátiás [Clinical anchor / Course, prognosis, mechanism]	malignus [Clinical anchor / Course, prognosis, mechanism]	multifaktoriális [Clinical anchor / Course, prognosis, mechanism]	neurodegeneratív [Clinical anchor / Course, prognosis, mechanism]	terápiarezisztens [Clinical anchor / Course, prognosis, mechanism]	juvenilis [Clinical anchor / Diagnostic and procedural descriptors]	kontraindikált [Clinical anchor / Diagnostic and procedural descriptors]	patológiás [Clinical anchor / Diagnostic and procedural descriptors]	posztoperatív [Clinical anchor / Diagnostic and procedural descriptors]	szisztémás [Clinical anchor / Diagnostic and procedural descriptors]	szubklinikai [Clinical anchor / Diagnostic and procedural descriptors]	aranyos [Neutral/positive colloquial anchor / Core]	boldog [Neutral/positive colloquial anchor / Core]	békés [Neutral/positive colloquial anchor / Core]	csodálatos [Neutral/positive colloquial anchor / Core]	csodás [Neutral/positive colloquial anchor / Core]	elégedett [Neutral/positive colloquial anchor / Core]	fantasztikus [Neutral/positive colloquial anchor / Core]	isteni [Neutral/positive colloquial anchor / Core]	jó [Neutral/positive colloquial anchor / Core]	jókedvű [Neutral/positive colloquial anchor / Core]	kedves [Neutral/positive colloquial anchor / Core]	kellemes [Neutral/positive colloquial anchor / Core]	kitűnő [Neutral/positive colloquial anchor / Core]	kiváló [Neutral/positive colloquial anchor / Core]	mennyei [Neutral/positive colloquial anchor / Core]	nagyszerű [Neutral/positive colloquial anchor / Core]	nyugodt [Neutral/positive colloquial anchor / Core]	pazar [Neutral/positive colloquial anchor / Core]	pompás [Neutral/positive colloquial anchor / Core]	príma [Neutral/positive colloquial anchor / Core]	remek [Neutral/positive colloquial anchor / Core]	szép [Neutral/positive colloquial anchor / Core]	tökéletes [Neutral/positive colloquial anchor / Core]	vidám [Neutral/positive colloquial anchor / Core]	élvezetes [Neutral/positive colloquial anchor / Core]	borzalmas [Pejorative colloquial anchor / Core]	borzasztó [Pejorative colloquial anchor / Core]	bosszantó [Pejorative colloquial anchor / Core]	csúnya [Pejorative colloquial anchor / Core]	csüggesztő [Pejorative colloquial anchor / Core]	feszült [Pejorative colloquial anchor / Core]	fájdalmas [Pejorative colloquial anchor / Core]	fárasztó [Pejorative colloquial anchor / Core]	félelmetes [Pejorative colloquial anchor / Core]	förtelmes [Pejorative colloquial anchor / Core]	ideges [Pejorative colloquial anchor / Core]	idegesítő [Pejorative colloquial anchor / Core]	ijesztő [Pejorative colloquial anchor / Core]	iszonyú [Pejorative colloquial anchor / Core]	kellemetlen [Pejorative colloquial anchor / Core]	kínos [Pejorative colloquial anchor / Core]	rettenetes [Pejorative colloquial anchor / Core]	rossz [Pejorative colloquial anchor / Core]	rémes [Pejorative colloquial anchor / Core]	siralmas [Pejorative colloquial anchor / Core]	szomorú [Pejorative colloquial anchor / Core]	szörnyű [Pejorative colloquial anchor / Core]	unalmas [Pejorative colloquial anchor / Core]	undorító [Pejorative colloquial anchor / Core]	addikt [Target words / Addiction and dependency]	függő [Target words / Addiction and dependency]	toxikus [Target words / Contemporary loanwords]	depressziós [Target words / Depression]	depresszív [Target words / Depression]	hisztis [Target words / Hysteria, mania, paranoia]	mániás [Target words / Hysteria, mania, paranoia]	paranoiás [Target words / Hysteria, mania, paranoia]	abnormális [Target words / Insanity and madness]	beszámíthatatlan [Target words / Insanity and madness]	bolond [Target words / Insanity and madness]	dilis [Target words / Insanity and madness]	elmebeteg [Target words / Insanity and madness]	eszelős [Target words / Insanity and madness]	flúgos [Target words / Insanity and madness]	habókos [Target words / Insanity and madness]	hibbant [Target words / Insanity and madness]	tébolyult [Target words / Insanity and madness]	zakkant [Target words / Insanity and madness]	ütődött [Target words / Insanity and madness]	őrült [Target words / Insanity and madness]	bipoláris [Target words / Mood disorder]	autista [Target words / Neurodevelopmental]	hiperaktív [Target words / Neurodevelopmental]	kényszeres [Target words / Neurosis and compulsion]	megszállott [Target words / Neurosis and compulsion]	neurotikus [Target words / Neurosis and compulsion]	fóbiás [Target words / Panic and phobia]	pszichotikus [Target words / Psychotic spectrum]	szkizofrén [Target words / Psychotic spectrum]	traumatizált [Target words / Trauma]	traumás [Target words / Trauma]
benignus [Clinical anchor / Course, prognosis, mechanism]	0.0	0.702017192581446	0.8226726019737056	0.6998692253882781	0.5930087776466411	0.36636423660662676	0.5845036267832902	0.5913721114310913	0.8156110904163321	0.6449882395260771	0.84770222570835	0.5906628523015234	0.6272447368703433	0.499685743449502	0.5581223370848246	0.9965544412059928	1.042037473731949	1.0214025931136541	1.0371195209961392	0.9948280259799903	1.0073901457286996	1.050869282352929	1.0183080070723156	1.0566684866313139	1.0032390435914569	0.9940045119965586	1.0142980826737233	0.9956487780173164	1.0104769082383558	1.0736164361362341	1.1327889452980975	1.018882651113673	1.1307804428534634	1.0789830583268678	1.0566002203531286	1.0803041932568813	1.1121053894140462	1.0120831459872	1.0599012227820714	1.0962897322818828	0.9819630543016666	1.0498701124073235	0.9369559047913484	0.9086425906632314	0.9911832096167089	0.9713339230578716	0.843390505651463	1.0666766314735312	0.9462393814920591	0.9857846745309766	0.8803976314625237	0.9677058484523664	0.9054119045488469	1.019710497341557	0.8538571769767034	0.9965643066385906	1.029337993091655	0.9868383737119228	1.0171290691190238	1.0471327740757252	1.0035915068917083	0.9844361737743167	1.1108421336754697	0.9814893360268097	0.8514111197282226	0.8843779170631744	0.6820960028256935	0.7028707983657632	0.7104625962794944	0.8642667913980746	0.6236991382675957	0.803757479447924	0.7591071280023787	0.8336344958315518	1.021150030531709	0.9928077020773357	0.8026906599994972	1.0022276179024618	0.9041394194399398	0.9366735437678855	0.9638315210836699	0.9903296428504162	0.8445636258055029	0.9541932375121995	0.9748545743238136	0.6636667286383929	0.8141309500949789	0.7544966905901956	0.7374158014600813	0.9437362163157157	0.6630854615857823	0.6187999426571824	0.5884915786662199	0.7725291150953075	0.856497413676699	0.5538067203147365
dekompenzált [Clinical anchor / Course, prognosis, mechanism]	0.702017192581446	0.0	0.9587719970040722	0.7931703176981111	0.8153407732897314	0.6915558121429908	0.7059942041404378	0.7279643899644401	0.7819910484737864	0.7967380926889758	0.8898640817307159	0.7148585218016654	0.7044312605411095	0.6724108638655144	0.7013441971359003	1.059113347324966	1.0392079711429423	1.0343532237027186	1.0602941161394688	0.9791333025705379	1.0975996653790057	1.1023581608749784	1.0570236977619611	1.0738899574354923	1.02042833999075	1.0340959272959824	1.0436872437291773	1.0447463452562658	1.0356929439043918	1.0720683730625518	1.058273665394835	1.0446712404009613	1.0739296087466699	1.0656424367665742	1.033463432402679	1.0688986260961721	1.0804336438174722	0.9892442820307212	0.9924299256612044	1.0756269829685938	0.9575483926983461	0.9356916872128594	1.013698480027055	0.9575163956636513	0.9385202111515842	0.9342408120102953	0.8332050793971678	1.0823526733351747	0.9966053174323038	0.9068423920603267	0.9600233771360897	1.0328216764726341	0.9420175931883072	0.9876714270479334	0.8913029268857278	0.9497548524798204	0.984488480626764	0.9618914514445338	0.9694647865599509	0.9966376409320633	0.9908262863316103	0.9455393741111442	1.0955180060000256	0.9938312534562597	0.9660056990926837	0.9409812447293044	0.8025021153524303	0.7820447894229511	0.7465063957842261	0.8984526544628461	0.7163931930000339	0.8625434280849849	0.8671157075869325	0.9002135034663431	1.0849241722883265	1.0128593974625093	0.9157925251899782	0.9865076356652828	1.078750087832319	1.0187645415961148	1.0275275630910374	0.9671579388885245	0.9141454334775995	0.9875882144586343	1.0420627047581996	0.7667814127181265	0.8422848623401471	0.7981595464285324	0.787448410679552	1.1027900664400307	0.7170358190925409	0.7604825855388524	0.6301232930301264	0.8336951207043264	0.8791769894497582	0.6402783646993551
gyógyszerrezisztens [Clinical anchor / Course, prognosis, mechanism]	0.8226726019737056	0.9587719970040722	0.0	0.7913472539318394	0.8966040835839281	0.7683489125613463	0.9166343238745166	0.88183232126512	0.8315376188196104	0.8432570738169128	0.9399235088794945	0.780289989321664	0.8181814828339411	0.7754791492610346	0.7338320744608624	0.9916959254734918	0.9125147808011114	0.9439480864921277	1.015020965603115	0.9566533853634279	0.9681677884897825	0.9745085262220763	0.9766079267058545	0.8717167348686993	0.8631579700257282	0.9934624896333276	0.9547949082536409	0.9534500666180524	0.9682185635329109	1.06056856198009	0.9773431136689222	0.9045927140493748	1.0200069462030856	1.0079845713539206	0.9878106995164067	0.9661469694271666	1.0134615435847762	0.8791515050160893	0.9286357842862749	0.936130823251104	0.8731045903157211	0.9431692667947803	0.8395112079232281	0.8080269357339236	0.9296456937339599	0.949217105153046	0.840805392676566	0.9039805136801735	0.8285325052902751	0.8973747362885091	0.8301572788196243	0.7994835408247262	0.8109978914190908	0.9428073610487432	0.8131323410824594	0.9443431437324277	0.896236316294337	0.8576745457302865	0.851670287450444	0.9447615394345517	0.9565200301174369	0.8436456141081541	0.9272053492025312	0.8522532422126878	0.9095078523682228	0.8740355151711894	0.7295198594608223	0.7414023043336211	0.7609008814987478	0.8242733053446312	0.7166140850757383	0.7913696857462756	0.8114031692258012	0.8180729808655454	0.9600117006357726	0.9926189732233728	0.7841991137108305	0.9298071767870781	0.975230545714044	0.9614195806021234	0.9646705203865038	0.8946771043790713	1.0194104662974575	0.9297663822044926	0.8490828901637608	0.8701067521456674	0.9381196344233635	0.7696544803835806	0.8215630929982378	0.8846906612566516	0.7715944602050229	0.7995393201879653	0.7743677452608599	0.8339346827810632	1.010285772410886	0.8048410909951812
iatrogén [Clinical anchor / Course, prognosis, mechanism]	0.6998692253882781	0.7931703176981111	0.7913472539318394	0.0	0.7997796057696495	0.6707291514250202	0.7202543369546212	0.7607758592021665	0.756371569025854	0.8137212235356294	0.9263559668700224	0.647629507156201	0.6922955871481955	0.5864149209272843	0.6511373298585021	0.9773321950892601	0.9875578111976088	0.9554741966810004	0.9444018465698053	0.8768484436921341	0.9708217680752715	0.9391520750773363	0.9417625804892491	0.917211756819272	0.9406251670494122	1.030567313827043	0.8922126023875862	0.9415632770474084	0.9388765043091692	0.9987790753528769	0.9790679036974596	0.9530990682699814	0.9765551629007242	1.000318628559153	1.0120007546495957	0.9634327814945589	1.0210147850698295	0.9785787630206493	0.9645768465044365	0.9657097586684785	0.8745281216693348	0.8923628802076409	0.855616580026282	0.8757908803193992	0.96358795894729	0.835800256160938	0.7318336731952847	0.9103025742350983	0.9094217984871972	0.8993865642791411	0.8550556398116055	0.9023233251192655	0.8727045349330504	0.9177845209528628	0.7384118644742073	0.8799063431129294	0.8502094538650733	0.8401514664689561	0.9002461742199386	0.9370515652169844	0.9291090763811118	0.8183322452437899	1.0237055660646286	0.9544710105013988	0.883548993604914	0.8597701846013938	0.7261944990896327	0.7262978128499047	0.6917462798740379	0.9251436806420541	0.7097512621126041	0.8350742719683382	0.8226240165051393	0.8974543299725846	0.9829525840111158	1.0375042714667548	0.8637808485549953	0.9852476899454806	1.0096143145082912	1.0506310053063876	1.0268342028625932	0.971152334662009	0.9509660706961178	0.991002486007602	0.9612352830664967	0.7328701907922031	0.9348663982297052	0.7743405788139903	0.7150750865730927	1.0196852805251548	0.7009544952899481	0.7091251686816095	0.6295365385912676	0.7897429860300442	0.925896986794938	0.6200012208871835
idiopátiás [Clinical anchor / Course, prognosis, mechanism]	0.5930087776466411	0.8153407732897314	0.8966040835839281	0.7997796057696495	0.0	0.6170460043275583	0.6687092900363929	0.6250561603155589	0.8414803993108704	0.7525178545785218	0.8053488247028149	0.6351771658778147	0.7394257397616346	0.6277670015909655	0.6992722251498296	0.9608931119508262	1.0558171697511494	1.0103677425727895	1.0361911657156655	1.0249649072504334	1.0559276372491804	1.039038349554892	0.9332498708034891	1.0789672090393214	1.0433150465624532	1.0574580554443238	1.0271481249353163	1.0670822101988362	1.0735623746927325	1.0615865773604274	1.1000876449810126	1.0368696791115033	1.0927443719051233	1.0734506806765247	1.0337637996245117	1.0713519662582194	1.0854417079027456	0.9914454529163269	1.0475416430704512	1.0356452515542824	0.9571978936525024	0.900934867260613	0.9033967561850179	0.9211289280517858	0.9018834206369165	0.9848993246510527	0.8587547836976436	0.971773971544406	0.9480194391563741	0.9598155033226469	0.896374670022403	0.9026213727978991	0.9109983604951365	0.9332220634602726	0.9124580004924823	0.9533922343054883	0.9454283061008009	0.9540353133378814	0.9404346536274921	1.0006992368130658	0.9669384978263647	0.9035393227476658	0.9846387756800391	0.9146665831626479	0.8746708954219036	0.9377259099090042	0.7477982958150393	0.764226466006847	0.7571920220946261	0.9119340374922733	0.7201050282136683	0.8265684075516673	0.8196396165049656	0.8922009851519567	0.9518448130136263	0.9179202316550313	0.8162851848651003	0.9092224833893253	0.9545725623989467	0.9589000236783475	0.9467088153002305	0.957365402116241	0.8764596163667895	0.9861711209109175	0.8873095335789893	0.7291517600540035	0.8103684376213129	0.7939054862849159	0.8261029125603656	1.0137751190932482	0.7089989223585921	0.6840536794314369	0.707761829756588	0.7643360532186863	0.8524605957417595	0.6331093608105136
malignus [Clinical anchor / Course, prognosis, mechanism]	0.36636423660662676	0.6915558121429908	0.7683489125613463	0.6707291514250202	0.6170460043275583	0.0	0.5595622972318313	0.557048864175662	0.7639754681500464	0.6131015268367512	0.7955080203390725	0.4802655410781006	0.5364108291051914	0.4443856389446723	0.5280387355357765	1.0770870415089906	1.0651923765554803	1.0462123011716855	1.070900556413717	1.0397606303865308	1.018269706732	1.0395916437383426	0.9350072982888468	1.0272952630012089	1.0568221198588128	1.1061214065068552	1.0670016496607606	1.0174205138674752	1.0105293355510925	1.0870370850064757	1.1071245486959	1.0218841543110206	1.174778742298653	1.1922483684992295	1.0994044866748094	1.114456157709087	1.1440558055421457	0.9252746778676398	1.1002543393286182	1.103816378055527	0.9351814529168347	0.9884733693067606	0.9145793404811089	0.9204702810825219	0.9660016974057187	0.9850071171787068	0.8043783807471886	1.0307731710645238	0.9355833148087767	0.9661675762735789	0.905360245196628	0.9332685605260487	0.8553035645932981	0.9843704336055522	0.8509048252397331	1.0034407433452945	0.9708101422370621	0.9187576719583703	0.989273442433665	0.9994846706501281	0.9932099577921576	0.9216481381409967	1.0771565840884283	0.9802910971808826	0.8734440355766424	0.7987476585879083	0.5947428378717461	0.6714225288372273	0.6406449758990147	0.9046440440798239	0.6042037798327102	0.7921919956036794	0.6569236745894675	0.8305868341526367	1.0615363003950937	1.0250010292171556	0.8490391920358373	0.9802297155476164	0.9475826211968142	1.0294062184364163	1.0650258099542251	1.0077905842554942	0.9236502246974756	0.9691575058598704	0.9878069358039914	0.5780588480477742	0.7213139110611557	0.6990270029426124	0.6414670781650978	0.9896579036153791	0.6111239464650355	0.5880907462800943	0.5143172587589657	0.6563760032759882	0.8171417738683133	0.48382641186900066
multifaktoriális [Clinical anchor / Course, prognosis, mechanism]	0.5845036267832902	0.7059942041404378	0.9166343238745166	0.7202543369546212	0.6687092900363929	0.5595622972318313	0.0	0.6372573269526881	0.8292868218620927	0.7037599388545844	0.8324660754344831	0.6533472507217211	0.7351964035323426	0.6200263759047702	0.6713631320282558	0.9790631975279469	1.0335908886003888	1.0583813096385692	0.9840020223094961	0.9654371508119434	1.019241151133631	0.9760840738186751	0.9193454320072698	1.0510988896733564	1.015075305201852	1.0696075477625724	1.0199424217499904	0.9567894064238076	0.9770794000928633	1.0164395484591708	1.020581057829623	1.0342472794772541	1.0244377014490458	1.0373853960940322	1.0202683168176132	1.012229315201938	1.064977037836026	0.9631123922743496	1.0069225459023188	0.9935694120547993	0.9784551987961841	1.0022072593422784	0.978146411271136	0.9837613276378365	1.0017609808092756	1.0107554216913504	0.8851206714912212	1.0101546812903979	0.9413453870317722	0.931471081211593	0.9384822191472574	0.9750720816056656	0.8802038146340141	0.9835148244909059	0.9265034492146453	0.9985121377227006	0.9420543781312809	1.0119855538697056	0.9736052827950822	1.01391852316606	1.016538476056192	0.9378582955272042	1.0140581523435153	0.9778849838311237	0.7841125533509498	0.9381348437179807	0.7419284389253322	0.8016612478766433	0.7364272248802244	0.9623510918789032	0.7264365552587915	0.8571019229882367	0.7984242037477507	0.9158288288565141	0.9941089322197857	0.9694573629692588	0.9213941140685907	1.0140095502612454	0.9522913681021099	0.9583165847869816	1.0397478318852267	0.9992924706968349	0.8466466855214061	0.9703140361749009	0.9602602161525113	0.692311843106926	0.8485901521551047	0.7697814752282182	0.7651362586437971	1.014505858810334	0.7272408008739002	0.7088963232279752	0.6610760085299847	0.7742829056685963	0.8630115572779401	0.6636491546634824
neurodegeneratív [Clinical anchor / Course, prognosis, mechanism]	0.5913721114310913	0.7279643899644401	0.88183232126512	0.7607758592021665	0.6250561603155589	0.557048864175662	0.6372573269526881	0.0	0.8211717532320424	0.6801615035155548	0.8797851317952721	0.652120340825868	0.6926090877721715	0.5510908791682678	0.5666847775971975	0.9669124157250979	1.000303362230076	1.0320298844828675	0.9699168481635624	0.933952746941768	1.082790613288332	0.9815870312985551	0.9887965860939433	1.0411142938561393	1.0261122697159524	1.0262734927500505	0.9561355678079855	0.9599615615798405	0.9678461549731698	1.0320371828018453	1.0287994845340034	1.0451513887604496	1.0371999599841757	1.0324234736997513	1.0131263625780451	1.0094461746431294	1.041383276280373	1.0130745884918664	1.0238318711068557	1.0276874249097274	0.8794471207758165	0.9644043929372814	0.9210081644298084	0.9559311290346606	0.9418791099851774	1.0122789169957251	0.864937395005827	1.0080101121009017	0.9132464314829708	0.9437012858707788	0.9358642687793316	0.9379292864068849	0.874506388805802	0.9887720161545561	0.8482629092025423	0.9812030813153694	0.9508275867364115	0.9641092819559194	0.9381432012391255	1.051043565437573	0.9785264247640848	0.9131661795307019	0.9615796196384475	0.8806323242437749	0.8207392319661029	0.9138039317038801	0.6575243575402088	0.782482905672197	0.7265691381984674	0.8841865457409488	0.7110273206751725	0.8998089757034389	0.8363960923091758	0.9296209541570231	1.0040944752056349	0.9502011304597513	0.8919573114026472	0.9294168031211388	0.9508276487580336	0.9428428950525347	0.967762150147706	0.946475933124909	0.8124691406899294	0.9365074767661098	0.9309547387409413	0.6899433299985963	0.8560148672127348	0.8207149647179071	0.8351128730063991	0.9873369759777936	0.7016257174851812	0.6786001217689261	0.638371238193006	0.734283762904981	0.8243136961200509	0.6247796673356204
terápiarezisztens [Clinical anchor / Course, prognosis, mechanism]	0.8156110904163321	0.7819910484737864	0.8315376188196104	0.756371569025854	0.8414803993108704	0.7639754681500464	0.8292868218620927	0.8211717532320424	0.0	0.8484187253510886	0.8722554310678393	0.7378207728057098	0.7567850997248662	0.7181197959657576	0.7367170793845343	0.9858598273530726	1.0200794354158387	1.0408078397326952	1.0384130406936642	1.0510364088455049	1.0356410456821594	1.0162941951616578	1.04385172910525	1.02165614869447	0.9532424054431743	1.020302881941638	1.0326416225399255	1.0169311645265817	1.0193127943916807	1.0413112934120197	1.0553787161391213	0.9825760689434472	1.0735554051689704	1.0729052055657793	1.040318276966876	1.0499586350812877	1.0539396851792657	1.0569169442758162	0.9799343469638536	1.0383006711109295	0.8831354705693164	0.8727095333173154	0.9087839942734715	0.9371325103960719	0.9704717700124199	0.9678330659683343	0.8202973561288013	0.9240988825721563	0.9246861844756515	0.9024055125170466	0.9171209158820717	0.9484138553263868	0.8763357467573762	0.9393675073501948	0.867973670457849	0.9623714796395669	0.9083054288761121	0.962894062923196	0.9287281238483922	0.9601912467403382	0.9600076134130077	0.9223691577666397	0.9837296235088209	0.9532265382564129	0.8977099976154019	0.9632343346525124	0.856199628396312	0.7229805792580624	0.7745300967915576	0.9495031288253928	0.7791873083086561	0.8416456070990321	0.7945945919497971	0.8205825143149552	0.9976986528068427	1.0141152865455025	0.8433068131128928	0.9759035759635682	1.0294718354593397	0.999343940481112	1.0270401188020593	0.9469989948980594	1.030284420715858	1.0138411537047938	0.9680879768327931	0.8666572822070233	0.8886761584210258	0.8026678380969331	0.8479311908053226	0.9924818690437355	0.7593066915208107	0.8167230891045737	0.7030228770363167	0.7892400215418816	0.9518541699809634	0.7457282477184092
juvenilis [Clinical anchor / Diagnostic and procedural descriptors]	0.6449882395260771	0.7967380926889758	0.8432570738169128	0.8137212235356294	0.7525178545785218	0.6131015268367512	0.7037599388545844	0.6801615035155548	0.8484187253510886	0.0	0.8358393034394588	0.6743767754795982	0.7805671240317048	0.6680805839743836	0.625676247127871	0.9829772965931682	0.9297954346222354	0.9907690380473692	0.9252139790798439	0.9110769270901963	1.059574354925964	0.9515306592281427	0.988739896819387	1.043480605254135	0.9748128273825591	1.0589851342400094	0.9555212830674819	0.9785818640518474	0.9966348745571418	1.004617334409548	1.0465917694361868	0.9949559126239547	0.9788537477443796	0.9773816187517017	1.0437908087908478	1.0046172289549475	0.9666727602902297	0.9544185279030127	0.8971750635508303	0.9692315714138953	0.9185056920225486	1.020698479373531	0.9575475211328552	0.929084617351955	0.9400729280161458	0.9263244481186534	0.8902609386302792	0.9819127911407933	0.892999222265896	0.9204914770978684	0.9508555140962016	0.9237632315596684	0.8520396148944541	0.9577795119197698	0.8892025826392249	1.0103260654612227	0.9832565007225891	0.9919992262046884	0.9387740088451995	1.0053134628698264	0.9231434174457478	0.959722668966538	0.9793978324535961	0.968304389934762	0.863522305789986	0.8500642359558138	0.6335876324582046	0.7857798596125966	0.6904009155215252	0.8764189015374336	0.7045784018799488	0.9099259799454416	0.8318216811005008	0.931275862262015	1.0116170578224395	1.0010216232804507	0.9636864058521463	1.0014500262113242	0.9453595351924851	0.9887022557601218	1.0226226158661769	0.9138327589772842	0.8442068119007768	0.945392235090758	0.9968650168390826	0.7099104262755336	0.921980668749395	0.8510313136450469	0.8552493870317648	0.9775252587355461	0.7769600787888462	0.7855773328189343	0.7401277727988549	0.7723999853907074	0.809470904426247	0.648288445179541
